tp_record_share;id_polizza_exp;id_polizza_invio;id_polizza_inviante;id_polizza_ricevente;compagnia_ania;compagnia_exp;agenzia;numero_polizza_cmp;progressivo;repertorio;tipo_codice_veicolo;codice_veicolo;data_immatricolazione;guida_esperta;settore_rca_share;classe_rca_share;uso_rca_share;trasportati_rca_share;estensioni_rca_share;limitazioni_rca_share;rimorchio_rca_share;tipo_targa_share;targa;telaio;marca;modello;tipo_tariffa_rca_share;bonus_malus_universale;bonus_malus_interna;tp_alimentazione_share;cavalli_fiscali;quintali;posti;cilindrata;peso_posti_rim;kw;codice_massimale_share;massimale_unico;massimale_sinistro;massimale_cose;massimale_persone;id_anagrafico_intestatariopra;flessibilita_rca;airbag_passeggero;codice_convenzione;abs;franchigia_bm;pejus;valore_veicolo;valore_accessori;fl_indicizzazione;indice_base;indice_istat;premio_base_indicizzazione;tariffa_vita;descrizione_tariffa_vita;massa;regolaz_premio;dt_pross_regolazione;codice_causale_regolazione_cmp;gg_comunicazione_dati_regolazione;marca_scatola_nera;modello_scatola_nera;natanti_numero_motori;natanti_stazza;natanti_lunghezza_fuori_tutto;natanti_velocita_massima;natanti_immatricolazione_estera;natanti_uso_diporto;libro_matricola;numero_applicazione_lm;data_prossima_qz;id_beneficiario_vita_exp;id_beneficiario_inviante;id_beneficiario_ricevente;id_assicurato_vita_exp;id_assicurato_inviante;id_assicurato_ricevente;tipo_polizza_vita_share;capitale_caso_morte;capitale_iniziale;capitale_attuale;capitale_rivalutato;benefici_mutualita;data_ultima_rivalutazione;totale_quote;finanziamento;visita_medica;adeguamento_capitale;durata_pag_premi;cumulo_versamenti;cumulo_riscatti;valore_polizza;data_valore_polizza;eta_minima;eta_massima;versamento_minimo;versamento_massimo;costi;data_rescindibilita;percentuale_detraibilita;descrizione_re;patrimonio;totale_iscritti_attivi;totale_nuovi_iscritti;data_iscrizione_nuovi_iscritti;riparazione_convenzionata;codice_aggregazione;id_mezzo_exp;ragione_sociale_cassa;partita_iva_cassa;timestamp_record
21;288600142;288600142;OWEB-23774-288600142;;5;GEN;;184643202;0;;0;062526;07/2005;N;4;3;2;0;;;;1;CW279AN;;RENAULT;MASTER T35/140 3.0 DCI;;13;;DIESEL;0;0;0;0;0;0;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;288725060;288725060;OWEB-23774-288725060;;;GPM;;116950578;0;;0;000148V057888199906;03/2000;N;4;3;2;0;;;;1;BH445ZG;MMBYNK740WD047700;MITSUBISHI;L200 2.5 TDI 4WD Club Cab Pick-up GL;1;1;1E;;23;28;0;2477;0;73;;0,00;0,00;1300000,00;6450000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;241949942;241949942;OWEB-23774-241949942;;5;GEN;;180024596;0;;0;055771;08/2005;N;1;1;1;0;;;;1;CS871BP;;OPEL;CORSA 1.2I 16V CAT 5 PORT;;1;01;BENZINA;14;0;0;1229;0;59;;0,00;15000000,00;15000000,00;15000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;267781153;267781153;OWEB-23774-267781153;;5;GEN;;183629171;0;;0;116093;11/2017;N;4;3;2;0;;;;1;FM619BS;;VOLKSWAGEN;TRANSP. 6 '15-> TRA;;10;;DIESEL;0;0;0;0;0;0;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;12100;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;241951142;241951142;OWEB-23774-241951142;;5;GEN;;180394860;0;;0;135402;12/2020;N;1;1;1;0;;;;1;GB323RZ;;DACIA;DUSTER 1.5 BLUE DCI 8V 1;;1;01;DIESEL;16;0;0;1461;0;85;;0,00;12000000,00;12000000,00;12000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;251714194;251714194;OWEB-23774-251714194;;5;GEN;;182259625;0;;0;093776;01/2016;N;1;1;1;0;;;;1;FB625XN;;FIAT;PANDA 1.2 EASY;;1;01;BENZINA;14;0;0;1242;0;51;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;5000;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;241950959;241950959;OWEB-23774-241950959;;5;GEN;;180394677;0;;0;122585;06/2019;N;1;1;1;0;;;;1;FX113FH;;MERCEDES;E 220 D AUTO BUSINESS;;4;12;DIESEL;20;0;0;1950;0;143;;0,00;12000000,00;12000000,00;12000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;269897278;269897278;OWEB-23774-269897278;;5;GEN;;183629240;0;;0;080965;01/2010;N;1;1;1;0;;;;1;EA179ZK;;ALFA ROMEO;159 1.9 JTDM 150CV;;1;01;DIESEL;19;0;0;1910;0;110;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;288600131;288600131;OWEB-23774-288600131;;5;GEN;;184643200;0;;0;077311;12/2014;N;1;1;1;0;;;;1;FA573EB;;SMART;FORTWO 1000 52 KW MHD CO;;1;01;BENZINA;12;0;0;999;0;52;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;4100;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
21;255085490;255085490;OWEB-23774-255085490;;5;GEN;;182259857;0;;0;058049;07/2007;N;1;1;1;0;;;;1;DJ573JY;;JEEP;CHEROKEE 2.8 CRD SPORT;;1;01;DIESEL;25;0;0;2776;0;120;;0,00;8000000,00;8000000,00;8000000,00;;0,00;N;;;0,00;;;;;0,00;0,00;0,00;;;0;N;;;0;;;0;0;0;0;;;N;;;;;;;;;;0,00;0,00;0,00;0,00;;;0,00;;;;0;0,00;0,00;0,00;;0;0;0,00;0,00;0,00;;0,00;;0,00;0;0;;N;;;;;
